目标变量,行业,制造业分组,检验滞后阶数,best_corr_lag,best_corr,best_abs_corr,corr_n,F,p_value,test_n,df_num,df_den,backtest_n,mae_base,mae_full,mae_gain,point_improvement_share,rolling_windows,rolling_median_abs_corr,rolling_strong_share,rolling_sign_consistency,q_value,证据等级,综合排序分
制造业同比增长率,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,1,3,-0.1693775880865391,0.1693775880865391,33,0.06306990407609725,0.8033137149505294,35,1,32,23,0.10161484110892222,0.17358575446289926,-0.7082716714267212,0.43478260869565216,16,0.14056190180636458,0.375,0.9375,0.8300908387822137,证据较弱,-0.5970588220614841
结构转型差值T同比变化,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,1,1,-0.4733781328571623,0.4733781328571623,35,10.763029897818093,0.002503963636799045,35,1,32,23,0.022673044133610105,0.01865998589518316,0.17699688735126928,0.4782608695652174,18,0.5214267457001,1.0,1.0,0.005516855121958675,仅相关或检验候选,0.39846017502995396
结构转型差值T同比变化,4.烟草制品业,消费与轻工制造,1,1,-0.4570644665502907,0.4570644665502907,35,4.0906060132158,0.05154653153204378,35,1,32,23,0.022673044133610105,0.021591672991907923,0.047694131203986745,0.5652173913043478,18,0.4985435631448153,0.7777777777777778,1.0,0.058461310152195994,仅相关或检验候选,0.2573314521698069
结构转型差值T同比变化,10.造纸和纸制品业,消费与轻工制造,2,1,-0.6116990214239396,0.6116990214239396,35,9.056735903329452,0.0008793603775333506,34,2,29,22,0.020796393010542882,0.015556219254702608,0.2519751263204023,0.5454545454545454,18,0.655142802164494,1.0,1.0,0.003028907967059319,有预测增益候选,0.48364186274023113
结构转型差值T同比变化,14.化学原料和化学制品制造业,传统高耗能与材料行业,3,4,0.26579603864319845,0.26579603864319845,32,1.9111695475925365,0.15256171375215719,33,3,26,20,0.022626158150436525,0.022528325888524874,0.004323856540787226,0.5,15,0.27944548552668835,0.4,1.0,0.16308321125230596,证据较弱,0.16116969597817193
结构转型差值T同比变化,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,3,3,-0.29585418623257526,0.29585418623257526,33,1.0945653583209591,0.3690365404127976,33,3,26,20,0.022626158150436525,0.0265974648209898,-0.17551838204917078,0.45,16,0.35638319926162687,0.75,1.0,0.3771472336086833,证据较弱,-0.0018757437296049277
结构转型差值T同比变化,28.仪器仪表制造业,先进制造与技术相关行业,2,1,-0.6479011800635539,0.6479011800635539,35,13.606371706303316,6.79464299113216e-05,34,2,29,22,0.020796393010542882,0.012225960736653748,0.41211147863691033,0.7727272727272727,18,0.6887923033317522,1.0,1.0,0.0020475258984637675,较稳健前置信号候选,0.6779181932510779
结构转型差值T同比变化,24.汽车制造业,装备制造,2,1,-0.6045102718421607,0.6045102718421607,35,9.072001588694913,0.0008711387608162175,34,2,29,22,0.020796393010542882,0.01312186438659697,0.3690317171855357,0.8181818181818182,18,0.6179159802807928,1.0,1.0,0.003028907967059319,较稳健前置信号候选,0.6416075445144555
结构转型差值T同比变化,31.金属制品、机械和设备修理业,其他制造,3,1,-0.5872388761775394,0.5872388761775394,35,4.132202312034845,0.016016503902875394,33,3,26,20,0.022626158150436525,0.014760224651331987,0.347647773289907,0.85,18,0.5966014860526693,1.0,1.0,0.020979364267146642,较稳健前置信号候选,0.6240988050765497
结构转型差值T同比变化,1.农副食品加工业,消费与轻工制造,3,1,-0.5461910610685781,0.5461910610685781,35,5.55977668311922,0.0043845824035279495,33,3,26,20,0.022626158150436525,0.014843946287805124,0.3439475588780528,0.75,18,0.5804660253651772,1.0,1.0,0.007551225250520357,较稳健前置信号候选,0.6060699976155267
结构转型差值T同比变化,30.废弃资源综合利用业,其他制造,1,1,-0.6191958609184588,0.6191958609184588,35,19.02626840551771,0.00012545005074243406,35,1,32,23,0.022673044133610105,0.015491824103578064,0.31672941611694444,0.7391304347826086,18,0.6995908249975464,1.0,1.0,0.0020475258984637675,较稳健前置信号候选,0.5774966050394125
结构转型差值T同比变化,18.非金属矿物制品业,传统高耗能与材料行业,3,1,-0.5820181110023317,0.5820181110023317,35,3.942634372913209,0.019193465869264428,33,3,26,20,0.022626158150436525,0.015890850759425746,0.2976779065287686,0.8,18,0.6276813079148085,1.0,1.0,0.024121517916778266,较稳健前置信号候选,0.5664718306329296
结构转型差值T同比变化,21.金属制品业,装备制造,1,1,-0.6401459249601761,0.6401459249601761,35,19.63086641259711,0.00010302252351835011,35,1,32,23,0.022673044133610105,0.015598002453446119,0.3120463947616136,0.6521739130434783,18,0.6836465084483863,1.0,1.0,0.0020475258984637675,较稳健前置信号候选,0.5597701054232121
结构转型差值T同比变化,23.专用设备制造业,装备制造,1,1,-0.6330841685460377,0.6330841685460377,35,19.387721679108235,0.00011148037697975194,35,1,32,23,0.022673044133610105,0.016107148659035165,0.2895903803601642,0.6956521739130435,18,0.6303231232275914,1.0,1.0,0.0020475258984637675,较稳健前置信号候选,0.5438358301521975
结构转型差值T同比变化,2.食品制造业,消费与轻工制造,2,1,-0.553765630851506,0.553765630851506,35,6.420533226198317,0.0049150864579555475,34,2,29,22,0.020796393010542882,0.015035731912926693,0.2770028963530253,0.7272727272727273,18,0.5903798208847998,1.0,1.0,0.008019351589295894,较稳健前置信号候选,0.5356928378644695
结构转型差值T同比变化,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,1,1,-0.6210650883338026,0.6210650883338026,35,18.368285522215196,0.0001559012450747331,35,1,32,23,0.022673044133610105,0.016307832243409485,0.28073918317677277,0.6956521739130435,18,0.6523814134424849,1.0,1.0,0.0020475258984637675,较稳健前置信号候选,0.534984632968806
结构转型差值T同比变化,17.橡胶和塑料制品业,传统高耗能与材料行业,3,1,-0.6154785206862277,0.6154785206862277,35,5.52995024680454,0.004499644496198325,33,3,26,20,0.022626158150436525,0.016677925067030655,0.262891872489237,0.75,18,0.6472282457815234,1.0,1.0,0.0076084897844808045,较稳健前置信号候选,0.525011448000013
结构转型差值T同比变化,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,3,1,-0.5978879541772534,0.5978879541772534,35,3.9169297730992927,0.019673501376329398,33,3,26,20,0.022626158150436525,0.01724822134099402,0.23768669756861704,0.8,18,0.6294121767990768,1.0,1.0,0.02439514170664845,较稳健前置信号候选,0.5064669404832846
结构转型差值T同比变化,11.印刷和记录媒介复制业,消费与轻工制造,3,1,-0.6130924421250886,0.6130924421250886,35,5.735659036642585,0.0037670967238544995,33,3,26,20,0.022626158150436525,0.017115133326213342,0.24356873966766907,0.7,18,0.6469801320388935,1.0,1.0,0.007149795822825886,较稳健前置信号候选,0.49821124987652776
结构转型差值T同比变化,29.其他制造业,其他制造,3,1,-0.5568590540103018,0.5568590540103018,35,3.606888934820139,0.026586005249799167,33,3,26,20,0.022626158150436525,0.017169440935168256,0.24116852622472243,0.7,18,0.5962534643607913,1.0,1.0,0.03129744921811801,较稳健前置信号候选,0.49460365376381654
结构转型差值T同比变化,9.家具制造业,消费与轻工制造,1,1,-0.6132087110783049,0.6132087110783049,35,15.855010638398312,0.0003685641356051133,35,1,32,23,0.022673044133610105,0.0172803207207178,0.23784734776298658,0.6521739130434783,18,0.6557188271166474,1.0,1.0,0.0028532323185271697,较稳健前置信号候选,0.485530773103582
结构转型差值T同比变化,25.铁路、船舶、航空航天和其他运输设备制造业,装备制造,3,1,-0.5215739478058955,0.5215739478058955,35,3.6793053505162807,0.024767466452907682,33,3,26,20,0.022626158150436525,0.017619609763505534,0.221272579889326,0.75,18,0.5667037225104528,1.0,1.0,0.029771752476658603,较稳健前置信号候选,0.482283992265493
结构转型差值T同比变化,22.通用设备制造业,装备制造,3,1,-0.6109435361263773,0.6109435361263773,35,4.47491881865107,0.011610661369044836,33,3,26,20,0.022626158150436525,0.017762188017028398,0.21497110119484808,0.75,18,0.6470368914971414,1.0,1.0,0.01587928687237014,较稳健前置信号候选,0.4766771368512296
结构转型差值T同比变化,26.电气机械和器材制造业,装备制造,1,1,-0.5804307934981293,0.5804307934981293,35,13.619890403471661,0.0008282722207080541,35,1,32,23,0.022673044133610105,0.017717631065236248,0.21855967108660296,0.6956521739130435,18,0.5957212513025103,1.0,1.0,0.003028907967059319,较稳健前置信号候选,0.4727560517752065
结构转型差值T同比变化,5.纺织业,消费与轻工制造,3,1,-0.6076368819867733,0.6076368819867733,35,3.670970847806191,0.024969856915907217,33,3,26,20,0.022626158150436525,0.017702500525997943,0.21760908730957448,0.7,18,0.633353134952407,1.0,1.0,0.029771752476658603,较稳健前置信号候选,0.47112049968574155
结构转型差值T同比变化,27.计算机、通信和其他电子设备制造业,先进制造与技术相关行业,3,1,-0.5802314696232929,0.5802314696232929,35,4.733572704999867,0.009149485611222887,33,3,26,20,0.022626158150436525,0.018047721153273712,0.20235149806351374,0.75,18,0.5789743249745083,1.0,1.0,0.01289245699763225,较稳健前置信号候选,0.46420687521363213
结构转型差值T同比变化,6.纺织服装、服饰业,消费与轻工制造,1,1,-0.6090829651373826,0.6090829651373826,35,14.631844006551024,0.000570870293882801,35,1,32,23,0.022673044133610105,0.018202263012885717,0.19718486385764958,0.7391304347826086,18,0.6475319366456004,1.0,1.0,0.0028949409413958392,较稳健前置信号候选,0.45790968202797105
结构转型差值T同比变化,16.化学纤维制造业,传统高耗能与材料行业,1,1,-0.5692771973695397,0.5692771973695397,35,11.613261436954287,0.0017850382205945416,35,1,32,23,0.022673044133610105,0.018517435903554095,0.18328408861057227,0.6086956521739131,18,0.5849579462884855,1.0,1.0,0.004668072393517537,较稳健前置信号候选,0.4243550328169833
结构转型差值T同比变化,19.黑色金属冶炼和压延加工业,传统高耗能与材料行业,1,1,-0.5247606187409622,0.5247606187409622,35,8.371935976447089,0.006804976042012349,35,1,32,23,0.022673044133610105,0.0193164662831999,0.1480426638183303,0.8260869565217391,18,0.5892656399419005,1.0,1.0,0.010189225713368846,较稳健前置信号候选,0.4214462460109228
结构转型差值T同比变化,3.酒、饮料及精制茶制造业,消费与轻工制造,1,1,-0.6188715226582008,0.6188715226582008,35,14.393809961426003,0.000622567944386202,35,1,32,23,0.022673044133610105,0.018733328108111416,0.17376211161952118,0.6086956521739131,18,0.7263240049581094,1.0,1.0,0.0028949409413958392,较稳健前置信号候选,0.4149217123985383
结构转型差值T同比变化,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,3,1,-0.596105987046425,0.596105987046425,35,3.945559275688764,0.019139639113607623,33,3,26,20,0.022626158150436525,0.018956849216968823,0.16217109900281107,0.65,18,0.6481652230957384,1.0,1.0,0.024121517916778266,较稳健前置信号候选,0.4084650231069721
结构转型差值T同比变化,15.医药制造业,先进制造与技术相关行业,3,1,-0.39734648539189,0.39734648539189,35,2.8095177560800444,0.059240640520173096,33,3,26,20,0.022626158150436525,0.01988953227058517,0.12094964870554292,0.6,18,0.39981854969235436,0.8333333333333334,1.0,0.06481623021618939,较稳健前置信号候选,0.3410421705280668
结构转型比值R同比变化,14.化学原料和化学制品制造业,传统高耗能与材料行业,3,4,0.31441853332667813,0.31441853332667813,32,3.2587055046051407,0.03754420788279772,33,3,26,20,0.0262384432218808,0.02592103847121336,0.01209693532437731,0.6,15,0.3269710985779161,0.7333333333333333,1.0,0.04060013178023474,仅相关或检验候选,0.2234002620686989
结构转型比值R同比变化,20.有色金属冶炼和压延加工业,传统高耗能与材料行业,1,1,-0.5731528443459566,0.5731528443459566,35,18.382115373867773,0.0001551857324738627,35,1,32,23,0.024633347290943443,0.018758131600544525,0.23850659112653225,0.5217391304347826,18,0.6307422201815762,1.0,1.0,0.0005345286340766381,有预测增益候选,0.4667407342600458
结构转型比值R同比变化,13.石油、煤炭及其他燃料加工业,传统高耗能与材料行业,1,3,-0.2923792169652325,0.2923792169652325,33,0.0003236283368327207,0.9857587929145118,35,1,32,23,0.024633347290943443,0.027488642354013427,-0.11591177720779124,0.43478260869565216,16,0.3516028802041975,0.75,1.0,0.9964735624027131,证据较弱,0.024481935976420944
结构转型比值R同比变化,28.仪器仪表制造业,先进制造与技术相关行业,2,1,-0.6103328509289109,0.6103328509289109,35,15.43642286531904,2.722308961279126e-05,34,2,29,22,0.02340163358790446,0.014122591849301702,0.3965125641228222,0.7727272727272727,18,0.6565310907985324,1.0,1.0,0.0003136550510298961,较稳健前置信号候选,0.6624059722793616
结构转型比值R同比变化,29.其他制造业,其他制造,3,1,-0.49517947222023195,0.49517947222023195,35,4.7926397985431635,0.008669728377540022,33,3,26,20,0.0262384432218808,0.016365478729727913,0.37627859277564185,0.75,18,0.5500347157291887,1.0,1.0,0.010336983834759256,较稳健前置信号候选,0.6382617435839039
结构转型比值R同比变化,30.废弃资源综合利用业,其他制造,1,1,-0.5748063945421347,0.5748063945421347,35,25.881445677931016,1.5413073408134704e-05,35,1,32,23,0.024633347290943443,0.0157234073028737,0.3617023656117381,0.8260869565217391,18,0.636050136645645,1.0,1.0,0.0003136550510298961,较稳健前置信号候选,0.6355997263374475
结构转型比值R同比变化,24.汽车制造业,装备制造,3,1,-0.5912032894146894,0.5912032894146894,35,6.287645629849152,0.0023640166810227014,33,3,26,20,0.0262384432218808,0.016667621978892995,0.36476330405938456,0.8,18,0.6128954042325474,1.0,1.0,0.0034897389100811307,较稳健前置信号候选,0.6345888171138805
结构转型比值R同比变化,21.金属制品业,装备制造,1,1,-0.602326710484114,0.602326710484114,35,25.907203064386852,1.5300015959674323e-05,35,1,32,23,0.024633347290943443,0.0154514861841552,0.37274110571907515,0.7391304347826086,18,0.6379950003660806,1.0,1.0,0.0003136550510298961,较稳健前置信号候选,0.6335949881839149
结构转型比值R同比变化,1.农副食品加工业,消费与轻工制造,3,1,-0.5228530028410425,0.5228530028410425,35,7.057128926310749,0.001266125505052781,33,3,26,20,0.0262384432218808,0.017117770688373307,0.3476072286903656,0.9,18,0.5466484514158578,1.0,1.0,0.0021409031267256113,较稳健前置信号候选,0.6325001835340294
