cause,effect,windows_tested,pass_count,min_q,median_q,median_lag,stability_score
制造业,化学制品制造业,4,0,0.1366356420866455,0.5246387114669759,3.0,0.0
制造业,黑色金属冶炼,4,0,0.15497283702261583,0.4209705761499526,2.5,0.0
居民生活,工业,4,0,0.15553396627798757,0.3137191173531571,1.0,0.0
黑色金属冶炼,商业用电,4,0,0.15611055308214877,0.5456654245630117,1.0,0.0
信息传输,交通仓储和邮政业,4,0,0.1570145073161449,0.3962660689423865,1.0,0.0
商业用电,合计,4,0,0.16156716999231197,0.39682569488083197,2.0,0.0
非普工业,化学制品制造业,4,0,0.17033916063071686,0.5082545438067347,4.0,0.0
合计,大工业电量,4,0,0.17094876480352822,0.3115125980360565,1.5,0.0
大工业电量,合计,4,0,0.17094876480352822,0.3419861056762078,1.0,0.0
电子,批发和零售业,4,0,0.17094876480352822,0.39088872531004243,1.5,0.0
石化,居民生活,4,0,0.17246265483994222,0.5832646452617132,2.0,0.0
化学制品制造业,居民生活,4,0,0.1788750521507103,0.5667577419027003,2.0,0.0
黑色金属冶炼,农业,4,0,0.18750818613375406,0.6682179006858228,1.0,0.0
纺织业,商业用电,4,0,0.19091228862398354,0.38482900123063546,1.5,0.0
信息传输,住宿和餐饮业,4,0,0.19238763415002333,0.24306327389600596,1.0,0.0
制造业,商业用电,4,0,0.192690478686004,0.3900240100254497,1.5,0.0
黑色金属冶炼,化学制品制造业,4,0,0.1982677960763714,0.40987757401557956,3.5,0.0
工业,商业用电,4,0,0.19891430660527537,0.41867601191725,1.5,0.0
信息传输,电子,4,0,0.20271418440260522,0.5889901107413849,3.5,0.0
居民生活,合计,4,0,0.20271418440260522,0.4342468900784141,1.0,0.0
电子,居民生活,4,0,0.2087195191096917,0.5561634734379728,1.5,0.0
信息传输,居民生活,4,0,0.2132001844349189,0.28838878605165946,1.5,0.0
居民生活,大工业电量,4,0,0.21542482819349465,0.38933955631420747,1.0,0.0
非金属矿物制品业,黑色金属冶炼,4,0,0.2237368835295895,0.41764106368670995,3.0,0.0
合计,交通仓储和邮政业,4,0,0.2276940951546908,0.5315361554043403,1.0,0.0
石化,电子,4,0,0.23172463527329368,0.4403553247787532,3.0,0.0
黑色金属冶炼,信息传输,4,0,0.23220067258055635,0.7093475008871111,1.0,0.0
住宿和餐饮业,交通仓储和邮政业,4,0,0.2393163169075715,0.539606345575872,4.0,0.0
合计,住宿和餐饮业,4,0,0.24746741694818142,0.5049918635759522,1.0,0.0
黑色金属冶炼,交通仓储和邮政业,4,0,0.2501690271997439,0.5565936822164834,1.0,0.0
非金属矿物制品业,批发和零售业,4,0,0.25441453398835234,0.523385972424677,2.0,0.0
大工业电量,商业用电,4,0,0.2579324847577109,0.4213768689419383,1.5,0.0
商业用电,住宿和餐饮业,4,0,0.2621079811355292,0.5320165810907487,1.0,0.0
电子,化学制品制造业,4,0,0.2621079811355292,0.38788935348159614,3.5,0.0
电子,交通仓储和邮政业,4,0,0.2657847811510506,0.42170026695755847,1.0,0.0
商业用电,交通仓储和邮政业,4,0,0.27366432714354877,0.4502582997041004,3.0,0.0
电子,商业用电,4,0,0.2744737411968105,0.5061125785472901,1.5,0.0
非金属矿物制品业,合计,4,0,0.276918496593086,0.3599025526619588,2.0,0.0
纺织业,石化,4,0,0.2782701232849657,0.5312867347909367,1.5,0.0
黑色金属冶炼,居民生活,4,0,0.2827723453431339,0.4838907294276078,1.5,0.0
交通仓储和邮政业,居民生活,4,0,0.28307655781528096,0.5020520849700763,1.5,0.0
居民生活,电子,4,0,0.28307655781528096,0.5338021781160717,4.0,0.0
黑色金属冶炼,石化,4,0,0.28307655781528096,0.5520853344314971,3.5,0.0
农业,电子,4,0,0.2834299225901764,0.5115754148582271,3.5,0.0
纺织业,交通仓储和邮政业,4,0,0.2834299225901764,0.5048779595204478,1.0,0.0
居民生活,农业,4,0,0.29723265169323954,0.6916505737495761,1.0,0.0
商业用电,居民生活,4,0,0.29797290676651417,0.46246643761076867,1.5,0.0
农业,交通仓储和邮政业,4,0,0.30166035963727517,0.48632993848637973,1.0,0.0
制造业,交通仓储和邮政业,4,0,0.309767370001524,0.4760654114812175,1.0,0.0
居民生活,交通仓储和邮政业,4,0,0.3108961556371091,0.7277087850021894,2.0,0.0
电子,住宿和餐饮业,4,0,0.314919070678359,0.5211304893842501,1.0,0.0
居民生活,信息传输,4,0,0.3174335236452431,0.669016464670963,2.5,0.0
