cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05,window_start,window_end
非普工业,批发和零售业,1,1.439465218023308,0.23303274371057991,104,0.3583317566604897,False,2023-07-01,2025-06-30
居民生活,批发和零售业,3,0.7766208963618202,0.5098844957086583,102,0.5694444362003979,False,2023-07-01,2025-06-30
商业用电,批发和零售业,1,0.5172035016806492,0.47369771794628945,104,0.5430033972783641,False,2023-07-01,2025-06-30
农业,批发和零售业,4,1.034184519722102,0.3939603982272265,101,0.49406508958004636,False,2023-07-01,2025-06-30
制造业,批发和零售业,1,3.4425356477851694,0.06645434571036535,104,0.17094876480352822,False,2023-07-01,2025-06-30
工业,批发和零售业,1,2.679188817496653,0.10477980423657807,104,0.21960698696159514,False,2023-07-01,2025-06-30
交通仓储和邮政业,批发和零售业,3,1.280671257104339,0.2855154994002299,102,0.4051127092787363,False,2023-07-01,2025-06-30
信息传输,批发和零售业,1,1.2013659332712348,0.27565548061431155,104,0.3997657680946888,False,2023-07-01,2025-06-30
住宿和餐饮业,批发和零售业,1,0.0067355062499189515,0.9347533695427442,104,0.9347533695427441,False,2023-07-01,2025-06-30
黑色金属冶炼,批发和零售业,1,5.5448880208540015,0.020468430079190525,104,0.0824123632135829,False,2023-07-01,2025-06-30
非金属矿物制品业,批发和零售业,2,0.7900509369503363,0.45669048495326714,103,0.5333865969301517,False,2023-07-01,2025-06-30
化学制品制造业,批发和零售业,4,3.794742578972864,0.00668509621385549,101,0.03933922002768808,True,2023-07-01,2025-06-30
纺织业,批发和零售业,1,3.4593004202316835,0.06580700570777842,104,0.17094876480352822,False,2023-07-01,2025-06-30
电子,批发和零售业,1,3.39889114733282,0.06817222404659762,104,0.17094876480352822,False,2023-07-01,2025-06-30
石化,批发和零售业,4,3.8124964096440404,0.006507041583360795,101,0.03904224950016477,True,2023-07-01,2025-06-30
合计,住宿和餐饮业,1,0.7150153616772562,0.39978265004053315,104,0.4965983792327021,False,2023-07-01,2025-06-30
大工业电量,住宿和餐饮业,1,0.7628645147095843,0.38450548103811166,104,0.4869189294751428,False,2023-07-01,2025-06-30
非普工业,住宿和餐饮业,1,0.25489757852983785,0.6147472899254435,104,0.660044458656792,False,2023-07-01,2025-06-30
居民生活,住宿和餐饮业,3,0.8139709161566885,0.48924476455082155,102,0.5564325192750041,False,2023-07-01,2025-06-30
商业用电,住宿和餐饮业,1,0.5037865009025067,0.47947654975342435,104,0.5474620306886114,False,2023-07-01,2025-06-30
农业,住宿和餐饮业,4,1.260684579066472,0.2911953462056752,101,0.4097472007021633,False,2023-07-01,2025-06-30
制造业,住宿和餐饮业,1,0.959739319702103,0.3295933722335097,104,0.44923250684149596,False,2023-07-01,2025-06-30
工业,住宿和餐饮业,1,0.6819164998813798,0.41087391072213963,104,0.49961830326317297,False,2023-07-01,2025-06-30
交通仓储和邮政业,住宿和餐饮业,1,0.8127827042845586,0.36944367784632837,104,0.48106283157862334,False,2023-07-01,2025-06-30
信息传输,住宿和餐饮业,1,2.0752887623454015,0.15279446995329626,104,0.28307655781528096,False,2023-07-01,2025-06-30
批发和零售业,住宿和餐饮业,2,0.2017075674552973,0.817672376276531,103,0.8368152078281555,False,2023-07-01,2025-06-30
黑色金属冶炼,住宿和餐饮业,1,1.6508584732557803,0.20178099502865,104,0.33375667285819943,False,2023-07-01,2025-06-30
非金属矿物制品业,住宿和餐饮业,1,0.03612320593188915,0.8496427550893867,104,0.8637564221174496,False,2023-07-01,2025-06-30
化学制品制造业,住宿和餐饮业,4,3.4536910263001555,0.011234555429375459,101,0.05371521814670141,False,2023-07-01,2025-06-30
纺织业,住宿和餐饮业,1,0.6325304382925074,0.42829375589072505,104,0.5056728695763082,False,2023-07-01,2025-06-30
电子,住宿和餐饮业,1,1.7876419646393291,0.18421736487394202,104,0.314919070678359,False,2023-07-01,2025-06-30
石化,住宿和餐饮业,4,3.709464415439501,0.00761101830906985,101,0.041588778617417395,True,2023-07-01,2025-06-30
合计,黑色金属冶炼,1,9.100820148476775,0.003232865853010747,104,0.02902833009329585,True,2023-07-01,2025-06-30
大工业电量,黑色金属冶炼,1,4.588037180855951,0.03460001585465977,104,0.11384521345726764,False,2023-07-01,2025-06-30
非普工业,黑色金属冶炼,4,2.9047726533091995,0.025909405121669504,101,0.09668631667354717,False,2023-07-01,2025-06-30
居民生活,黑色金属冶炼,1,6.473774000900958,0.012461928794602284,104,0.05859731454373186,False,2023-07-01,2025-06-30
商业用电,黑色金属冶炼,1,7.936679965637017,0.005827826105602063,104,0.03695051021854294,True,2023-07-01,2025-06-30
农业,黑色金属冶炼,1,6.921011166089909,0.009852837883819299,104,0.04862852245885008,True,2023-07-01,2025-06-30
制造业,黑色金属冶炼,3,1.6291505279009588,0.18777645105465268,102,0.31571205506991057,False,2023-07-01,2025-06-30
工业,黑色金属冶炼,1,3.9321306578776802,0.050087420518187264,104,0.1502622615545618,False,2023-07-01,2025-06-30
交通仓储和邮政业,黑色金属冶炼,1,6.418662295822494,0.012830130962189656,104,0.05859731454373186,False,2023-07-01,2025-06-30
信息传输,黑色金属冶炼,1,5.998199748354341,0.01604254008576833,104,0.06865632052394446,False,2023-07-01,2025-06-30
批发和零售业,黑色金属冶炼,1,8.706637693148505,0.00394128930376525,104,0.029939907135422612,True,2023-07-01,2025-06-30
住宿和餐饮业,黑色金属冶炼,1,5.6606531968196725,0.019228230246087663,104,0.07845117940403766,False,2023-07-01,2025-06-30
非金属矿物制品业,黑色金属冶炼,3,1.6364088529841825,0.18612677135539724,102,0.31571205506991057,False,2023-07-01,2025-06-30
化学制品制造业,黑色金属冶炼,1,3.8207559323140448,0.053385894720798466,104,0.15611055308214877,False,2023-07-01,2025-06-30
纺织业,黑色金属冶炼,3,0.7405951497325326,0.5304354410300385,102,0.5859683933400425,False,2023-07-01,2025-06-30
电子,黑色金属冶炼,1,4.424796062206699,0.03790447917276685,104,0.11835480231496587,False,2023-07-01,2025-06-30
石化,黑色金属冶炼,1,3.798342054563183,0.05407751185198617,104,0.15611055308214877,False,2023-07-01,2025-06-30
合计,非金属矿物制品业,1,1.6363290314684404,0.2037609518518234,104,0.33521963046590303,False,2023-07-01,2025-06-30
大工业电量,非金属矿物制品业,2,2.407302874031754,0.09536561145352507,103,0.2087195191096917,False,2023-07-01,2025-06-30
非普工业,非金属矿物制品业,2,1.9070060329454912,0.15399537741439473,103,0.28307655781528096,False,2023-07-01,2025-06-30
居民生活,非金属矿物制品业,1,4.452601790086912,0.03731869851429459,104,0.11772702830282623,False,2023-07-01,2025-06-30
商业用电,非金属矿物制品业,1,4.495235965463509,0.03643916499403421,104,0.11614983841848404,False,2023-07-01,2025-06-30
农业,非金属矿物制品业,1,3.2879110908839633,0.07276170175271757,104,0.17531559634906754,False,2023-07-01,2025-06-30
制造业,非金属矿物制品业,2,6.000462400151363,0.0034806249299810244,103,0.02902833009329585,True,2023-07-01,2025-06-30
工业,非金属矿物制品业,2,2.8316188889107834,0.0637476255716759,103,0.17094876480352822,False,2023-07-01,2025-06-30
交通仓储和邮政业,非金属矿物制品业,1,4.5330108967063145,0.035678292944167134,104,0.11614423022250153,False,2023-07-01,2025-06-30
信息传输,非金属矿物制品业,2,4.5278025456276945,0.013158809333849275,103,0.059214642002321745,False,2023-07-01,2025-06-30
批发和零售业,非金属矿物制品业,1,4.768666859061539,0.03129706956809408,104,0.10770207594937567,False,2023-07-01,2025-06-30
住宿和餐饮业,非金属矿物制品业,1,2.322880892688678,0.13060889225292616,104,0.2561943655730475,False,2023-07-01,2025-06-30
黑色金属冶炼,非金属矿物制品业,2,12.532290341790784,1.424154058127236e-05,103,0.002178955708934671,True,2023-07-01,2025-06-30
化学制品制造业,非金属矿物制品业,1,2.0892043451205264,0.1514390147286232,104,0.28307655781528096,False,2023-07-01,2025-06-30
纺织业,非金属矿物制品业,2,17.50664186805969,3.1566175517916406e-07,103,9.65924970848242e-05,True,2023-07-01,2025-06-30
电子,非金属矿物制品业,4,2.2051762999286395,0.07448089236616484,101,0.1766732098743415,False,2023-07-01,2025-06-30
石化,非金属矿物制品业,1,2.4963269707669595,0.11723896637967623,104,0.2404603066915089,False,2023-07-01,2025-06-30
合计,化学制品制造业,4,3.4903586297873446,0.010624352920614255,101,0.05160399990012638,False,2023-07-01,2025-06-30
大工业电量,化学制品制造业,4,0.7313243479811399,0.5728612773954775,101,0.6244501464869433,False,2023-07-01,2025-06-30
非普工业,化学制品制造业,4,1.0488669756465685,0.38650229241883505,101,0.4869189294751428,False,2023-07-01,2025-06-30
居民生活,化学制品制造业,4,5.124992920841902,0.0008985336181441816,101,0.02065237740221543,True,2023-07-01,2025-06-30
商业用电,化学制品制造业,4,5.256338948750686,0.0007387107339056342,101,0.02065237740221543,True,2023-07-01,2025-06-30
农业,化学制品制造业,4,5.343741254247783,0.0006486206098106351,101,0.02065237740221543,True,2023-07-01,2025-06-30
制造业,化学制品制造业,1,0.4733959423754064,0.4930062012090888,104,0.5564325192750041,False,2023-07-01,2025-06-30
工业,化学制品制造业,4,0.7274025069639226,0.575473664409536,101,0.6244501464869433,False,2023-07-01,2025-06-30
交通仓储和邮政业,化学制品制造业,4,3.909843961458073,0.00561212253355492,101,0.036538499899315006,True,2023-07-01,2025-06-30
信息传输,化学制品制造业,4,3.7231838421765047,0.007453796841899951,101,0.041588778617417395,True,2023-07-01,2025-06-30
批发和零售业,化学制品制造业,4,4.925370248509971,0.0012111699882689786,101,0.02065237740221543,True,2023-07-01,2025-06-30
住宿和餐饮业,化学制品制造业,4,4.197558305565851,0.0036271021146344617,101,0.029207717028372243,True,2023-07-01,2025-06-30
黑色金属冶炼,化学制品制造业,1,2.048787325891992,0.15541458076133075,104,0.28307655781528096,False,2023-07-01,2025-06-30
非金属矿物制品业,化学制品制造业,2,0.1570387470176447,0.8548855840576399,103,0.8646858884349472,False,2023-07-01,2025-06-30
纺织业,化学制品制造业,1,0.6286580506181209,0.4297065604011525,104,0.5056728695763082,False,2023-07-01,2025-06-30
电子,化学制品制造业,4,1.6382680884219782,0.1713152734090072,101,0.2995569923608926,False,2023-07-01,2025-06-30
石化,化学制品制造业,3,1.3232129860208337,0.27143156372344535,102,0.3981781278721532,False,2023-07-01,2025-06-30
合计,纺织业,1,8.517134892605714,0.004337327002841063,104,0.030865629369055004,True,2023-07-01,2025-06-30
大工业电量,纺织业,1,9.824134323699601,0.002255195110745012,104,0.0255588779217768,True,2023-07-01,2025-06-30
非普工业,纺织业,1,10.736540353042665,0.0014403621363148211,104,0.02131808550821085,True,2023-07-01,2025-06-30
居民生活,纺织业,1,5.0529570653230795,0.026757759470637077,104,0.09747469521446364,False,2023-07-01,2025-06-30
商业用电,纺织业,1,7.821631239930601,0.00618162453322435,104,0.03783154214333302,True,2023-07-01,2025-06-30
