group,target,horizon,model,mae,rmse,mape,smape,n
key_variable,大工业电量,10,direct_context_weather_holiday,16876092.157289993,21220955.507166415,0.0385102959443855,0.03826284199466921,101
key_variable,大工业电量,11,direct_context_weather_holiday,16055366.909933124,20519495.288507216,0.03678865719075546,0.03650726792829688,101
key_variable,大工业电量,12,direct_context_weather_holiday,15797071.052709864,20275113.23367775,0.0361763608837621,0.0359152614449803,101
key_variable,大工业电量,13,direct_context_weather_holiday,15149811.4867942,19503437.11753011,0.03459835766435497,0.0344254577823352,101
key_variable,大工业电量,14,direct_context_weather_holiday,14363679.904476527,18373935.407409713,0.03281031001540573,0.03263773200586041,101
key_variable,大工业电量,15,direct_context_weather_holiday,14191420.304979583,17911828.75814288,0.032429747206759944,0.032258808568316186,101
key_variable,大工业电量,16,direct_context_weather_holiday,14252274.552563466,17736666.807621066,0.0325395262755899,0.0324258321046656,101
key_variable,大工业电量,17,direct_context_weather_holiday,14264164.845185367,17845695.778267037,0.03265997512106839,0.032511379005499726,101
key_variable,大工业电量,18,direct_context_weather_holiday,14221476.902641894,18078278.807865877,0.032730977385875056,0.03252887831387122,101
key_variable,大工业电量,19,direct_context_weather_holiday,14023938.28810364,18017156.657174785,0.03228769581168485,0.03204942604534203,101
key_variable,大工业电量,20,direct_context_weather_holiday,14164037.897256233,18256780.356040534,0.03256626951317946,0.03231915877659936,101
key_variable,大工业电量,21,direct_context_weather_holiday,14713904.408181569,18924326.643697686,0.0338147190267943,0.03353845213523672,101
key_variable,大工业电量,22,direct_context_weather_holiday,15674840.348483102,19543236.563169815,0.03600686541716028,0.035649320166700665,101
key_variable,大工业电量,23,direct_context_weather_holiday,16326783.731366077,19650743.049724832,0.03749434922496143,0.03713007959615474,101
key_variable,大工业电量,24,direct_context_weather_holiday,17234723.56124416,20958895.394261226,0.039572644995608336,0.0391929756090476,101
key_variable,大工业电量,25,direct_context_weather_holiday,17943489.838322792,21751643.54968932,0.041170415486700675,0.04068439881387155,101
key_variable,大工业电量,26,direct_context_weather_holiday,17361798.07645261,20888699.961233314,0.03979034207342693,0.039408644267293555,101
key_variable,大工业电量,27,direct_context_weather_holiday,16788884.46008322,20437096.634191904,0.0383623626320182,0.03814506322734973,101
key_variable,大工业电量,28,direct_context_weather_holiday,16823334.094514742,20358573.291388914,0.03842125493131089,0.03822729191521379,101
key_variable,大工业电量,29,direct_context_weather_holiday,16319175.426411629,20068279.895990428,0.037183500639679096,0.037115035289568866,101
key_variable,大工业电量,30,direct_context_weather_holiday,16339746.791720346,19945906.37678958,0.03715491434170072,0.03715299222729772,101
key_variable,大工业电量,1,direct_own_weather_holiday,12251586.181395216,18934193.259933315,0.028288985337873215,0.028472101298083474,101
key_variable,大工业电量,2,direct_own_weather_holiday,13848325.588358417,19968792.679143183,0.03181015248093232,0.03207794003663948,101
key_variable,大工业电量,3,direct_own_weather_holiday,15341823.265185436,20878182.153408136,0.03501281733330833,0.035535858643281154,101
key_variable,大工业电量,4,direct_own_weather_holiday,15515017.38716866,21357211.599933222,0.035153763563929734,0.03590164654553418,101
key_variable,大工业电量,5,direct_own_weather_holiday,15122461.003412433,21447252.4503156,0.03399617792699236,0.034862311035547364,101
key_variable,大工业电量,6,direct_own_weather_holiday,14950901.03302629,21166838.56580902,0.033524899488281794,0.034356552448809516,101
key_variable,大工业电量,7,direct_own_weather_holiday,14642414.666899001,20089659.99340931,0.03279369389354112,0.033492942899297204,101
key_variable,大工业电量,8,direct_own_weather_holiday,13975632.420421015,19101351.08782808,0.03127359273494393,0.03187602046790217,101
key_variable,大工业电量,9,direct_own_weather_holiday,13950602.69901499,19055511.07843103,0.031261609875361585,0.03185372131112575,101
key_variable,大工业电量,10,direct_own_weather_holiday,14121700.320196543,19796890.8095183,0.031672735550278684,0.032325120752728934,101
key_variable,大工业电量,11,direct_own_weather_holiday,14034534.51393456,19801474.93789208,0.03148944720238138,0.03215697655191858,101
key_variable,大工业电量,12,direct_own_weather_holiday,14020987.481506199,19795115.820070907,0.031445924368198604,0.03210165328229803,101
key_variable,大工业电量,13,direct_own_weather_holiday,13890925.428960597,19852645.506937757,0.031091368803814617,0.031798795838459695,101
key_variable,大工业电量,14,direct_own_weather_holiday,13793896.266607044,19820619.88174528,0.030843451712962627,0.0316030609126626,101
